unit_name,registration_no,udyam_no,nature_of_industry,enterprise_type,product_activity,district,taluk,address,contact_person,phone,registration_date,commencement_date,gstin,pan,iec_code,has_iec,paid_up_capital,authorized_capital,employee_count,annual_turnover,export_turnover,import_turnover,bank_name,ad_code,years_in_business,mca_status,is_shell,related_party_txn_pct,turnover_capital_ratio,primary_port,hs_code_primary
Sastry Gola and Sharma,TN/MSME/au/424482,UDYAM-TN-04-21-0910186,Engineering,Micro,Castings,Virudhunagar,Virudhunagar Taluk,"21/234, Bains Zila, Aurangabad 254546",Hemangini Thakur,+915742096890,2021-07-09,2021-09-07,33FTCAO0146K1ZY,FTCAO0146K,13758095426,True,1536228,2158050,6,3800471.0,1495744,724773,Bank of Baroda,985858,4,active,False,0.010388857432348996,2.473897754760361,INMAA4,0901
Nadig LLC,TN/MSME/Ce/596234,UDYAM-TN-28-22-0956929,Handicraft,Small,General Products,Madurai,Melur,"01/77, Chahal Zila, Khandwa 311840",Omisha Bhavsar,+913452965584,2016-05-27,2016-07-12,33RGVCC8492G4Z0,RGVCC8492G,,False,37717251,76918757,45,83810607.0,0,9784166,Canara Bank,535782,9,active,False,0.11746085609545477,2.2220762324380425,INMAA4,8703
Bhat-Oommen,TN/MSME/mD/649242,UDYAM-TN-13-23-0730277,Handicraft,Micro,General Products,Erode,Erode Taluk,"12/961, Savant Road, Panihati-227133",Pahal Behl,+917786520154,2014-02-19,2014-07-17,33DLDPK1945A6ZI,DLDPK1945A,,False,1427561,2596918,10,1061555.0,0,52897,Bank of Baroda,674347,12,active,False,0.0522128331025277,0.7436144585065017,INMAA4,8517
Barman Kari and Chand,TN/MSME/rr/712269,UDYAM-TN-11-23-0400099,Textile,Micro,Readymade Garments,Dharmapuri,Dharmapuri Taluk,"H.No. 455, Parmer Zila, Navi Mumbai 420342",Amol Halder,09553034990,2016-04-05,2016-07-09,33SQLPN3849K1ZL,SQLPN3849K,,False,1387506,1980722,6,1307360.0,0,258702,Axis Bank,525312,10,active,False,0.09511608513062635,0.9422373669014764,INMAA4,0803
Nayar-Mandal,TN/MSME/cD/751478,UDYAM-TN-13-23-0996726,Trading,Micro,General Merchandise,Perambalur,Perambalur Taluk,"87, Munshi Road, Ahmedabad 377688",Prisha Sarma,+914293678287,2017-10-31,2017-12-21,33CTQAR0450J6ZN,CTQAR0450J,30386882321,True,168897,414038,4,412480.0,109503,113105,Indian Bank,659137,8,active,False,0.12306269628352605,2.442198499677318,INMAA4,0803
Raman LLC,TN/MSME/TX/933450,UDYAM-TN-37-23-0253579,Textile,Micro,Woven Fabric,Sivaganga,Sivaganga Taluk,"H.No. 64, Rajagopalan Ganj, Haridwar-562861",Anamika Pillai,08041981027,2024-05-09,2024-06-04,33HXXFV2940E4Z7,HXXFV2940E,,False,1222434,2241466,10,1581435.0,0,185674,Canara Bank,226204,1,active,False,0.05899766142876806,1.2936772046589018,INMAA4,6204
Goswami-Khare,TN/MSME/wO/749344,UDYAM-TN-01-21-0029170,Service,Medium,General Products,Dharmapuri,Dharmapuri Taluk,"267, Kurian Marg, Imphal 860166",Faris Upadhyay,6104697440,2017-12-02,2018-01-31,33XNLAD7115M4Z9,XNLAD7115M,99072321583,True,96631874,179512138,133,97540836.0,12483239,740038,Union Bank of India,404688,8,active,False,0.14751212871116354,1.0094064407775016,INMAA4,6403
Mahal Sengupta and Swaminathan,TN/MSME/lK/444382,UDYAM-TN-19-22-0938062,Export Oriented Unit,Micro,Leather Goods,Ranipet,Ranipet Taluk,"H.No. 004, Khosla Road, Mysore 767660",Onveer Parsa,+912476431962,2014-11-23,2014-12-16,33SUJCI6296U1ZH,SUJCI6296U,39592556542,True,2345702,2617972,8,6610182.0,4249947,1674934,Canara Bank,108605,11,dormant,False,0.031195868243426315,2.81799734152079,INMAA4,6110
Sodhi Group,TN/MSME/Md/118806,UDYAM-TN-35-20-0166083,Engineering,Micro,Machine Parts,Kancheepuram,Kancheepuram Taluk,"21, Virk Ganj, Vijayawada-635968",Orinder Patla,06335141364,2023-07-29,2023-11-09,33RJICO8101S1ZH,RJICO8101S,,False,420078,748840,6,718239.0,0,54837,Axis Bank,354410,2,active,False,0.09091661613012317,1.7097753274391898,INMAA4,3004
Purohit Tak and Iyengar,TN/MSME/rj/359478,UDYAM-TN-28-23-0967153,Food Processing,Micro,Dal Mill,Chennai,Perambur,"H.No. 67, Krishnamurthy, Sagar-264753",Frederick Pal,2417350274,2024-05-22,2024-09-08,33XADPC7924C4Z9,XADPC7924C,,False,1630462,2102613,8,3852759.0,0,199911,HDFC Bank,271155,1,active,False,0.1330972336799608,2.3629860738858066,INNSA1,2709
Verma Menon and Deshmukh,TN/MSME/VQ/245808,UDYAM-TN-33-22-0615378,Leather,Micro,Leather Garments,Sivaganga,Sivaganga Taluk,"H.No. 861, Bala Circle, Junagadh-086988",Anika Mitter,5442610316,2015-07-25,2015-12-27,33LLPAI8664S4ZX,LLPAI8664S,,False,963321,1555486,2,1563959.0,0,283334,State Bank of India,216868,10,dormant,False,0.14255671236494025,1.62350763660296,INMAA4,3004
Madan-Gola,TN/MSME/FE/439926,UDYAM-TN-05-23-0297392,Manufacturing,Micro,Auto Parts,Ranipet,Ranipet Taluk,"82, Bhalla Chowk, Kollam 683440",Divya Barad,+911857354328,2017-12-03,2018-02-01,33UJBAV3130W1ZV,UJBAV3130W,44769845994,True,1453422,1927521,10,3616257.0,1336652,608571,ICICI Bank,499241,8,active,False,0.14194065915423645,2.4880984325268227,INMAA4,2601
Banerjee Bath and Khalsa,TN/MSME/vJ/857315,UDYAM-TN-09-23-0038806,Handloom,Micro,General Products,Madurai,Thirumangalam,"63, Bumb Chowk, Ludhiana-885736",Pahal Apte,6350983630,2021-07-08,2021-11-23,33FUMCI4113M2ZB,FUMCI4113M,97409850211,True,1442686,1527343,10,4284614.0,1600273,828784,Punjab National Bank,701341,4,active,False,0.014267972666602818,2.9698867251778975,INMAA4,2601
Nori-Contractor,TN/MSME/gi/104275,UDYAM-TN-28-21-0178459,Agro-based Industry,Small,General Products,Virudhunagar,Virudhunagar Taluk,"166, Trivedi Nagar, Hapur-647982",Advaith Mannan,02985397257,2015-05-30,2015-06-26,33OIPPM2946D4ZG,OIPPM2946D,24424207127,True,29366654,61263593,14,75285567.0,10661966,18345933,Indian Overseas Bank,610505,10,active,False,0.08063375538911487,2.5636412987329096,INMAA4,6204
Jaggi Chokshi and Luthra,TN/MSME/lf/533092,UDYAM-TN-08-21-0605957,Manufacturing,Micro,Auto Parts,Coimbatore,Pollachi,"067, Kata Zila, Karaikudi 849050",Gauri Singhal,03349241918,2024-07-03,2024-12-17,33GRUPM2114E4ZJ,GRUPM2114E,,False,1376285,2362930,7,2879544.0,0,423382,Federal Bank,033272,1,active,False,0.1158965960862464,2.0922585075038964,INICJ4,5201
Mohanty-Chaudhari,TN/MSME/SO/798218,UDYAM-TN-34-22-0797430,Agro-based Industry,Small,General Products,Vellore,Vellore Taluk,"H.No. 834, Chakrabarti Nagar, Bikaner-726580",Jason Uppal,3732977912,2015-08-24,2015-11-12,33RTFCC0426O6ZM,RTFCC0426O,,False,26190079,63290212,32,26757189.0,0,5687339,Axis Bank,148280,10,active,False,0.12717104685065678,1.0216536192960701,INMAA4,6110
Wable-Karan,TN/MSME/xQ/505625,UDYAM-TN-34-23-0369054,Textile,Medium,Hosiery,Salem,Salem Taluk,"H.No. 61, Konda Chowk, Aurangabad-819321",Aarini Choudhary,4301376070,2019-10-10,2020-03-17,33UEHCF6951O1ZH,UEHCF6951O,53512985184,True,216558309,517659158,168,209536279.0,22750584,5284511,Federal Bank,702294,6,active,False,0.022593006935262675,0.9675744143347554,INMAA4,3004
Dara Bhatia and Sani,TN/MSME/kz/514389,UDYAM-TN-08-20-0938537,Manufacturing,Micro,Metal Fabrication,Virudhunagar,Virudhunagar Taluk,"H.No. 284, Shah Zila, Malegaon-208220",Amaira Bora,04765618676,2013-03-29,2013-08-07,33QTKPJ1126Q6ZG,QTKPJ1126Q,,False,510256,537570,4,1478430.0,0,118057,Bank of Baroda,245247,13,active,False,0.01515479863672644,2.897427957731021,INMAA4,8517
Sachdev Varma and Sheth,TN/MSME/CU/998681,UDYAM-TN-05-21-0196445,Engineering,Micro,Forgings,Perambalur,Perambalur Taluk,"H.No. 534, Dada, Jalandhar-491221",Pooja Kumer,09003987492,2019-02-17,2019-06-26,33FUJAJ7201W6ZT,FUJAJ7201W,,False,1225193,1835624,4,1134015.0,0,154866,Federal Bank,331190,7,struck_off,False,0.09990470685951489,0.9255807044277922,INMAA4,0901
Iyengar Babu and Banerjee,TN/MSME/Oi/541162,UDYAM-TN-07-22-0842943,Service,Small,General Products,Thanjavur,Thanjavur Taluk,"074, Palla Circle, Anantapur-302067",Adya Khalsa,+912935353347,2013-02-23,2013-07-08,33PZPPP8400V4ZO,PZPPP8400V,,False,13957168,29369785,21,33322476.0,0,4524689,Indian Bank,486874,13,active,False,0.1484689677645062,2.3874811852948965,INMAA4,2709
Sastry-Issac,TN/MSME/eE/611637,UDYAM-TN-16-23-0376880,Textile,Micro,Hosiery,Kancheepuram,Kancheepuram Taluk,"H.No. 60, Dada Nagar, Thoothukudi 814700",Anirudh Kala,05534109229,2024-09-24,2024-11-01,33SXUFT4256E6ZO,SXUFT4256E,,False,1579022,2067668,3,2199555.0,0,58908,State Bank of India,710415,1,dormant,False,0.05666673888124571,1.3929856582112219,INMAA4,6110
Behl LLC,TN/MSME/UT/527504,UDYAM-TN-32-21-0488970,Food Processing,Micro,Dal Mill,Thoothukudi,Thoothukudi Taluk,"H.No. 71, Nigam Ganj, Thiruvananthapuram-743410",Raghav Bahri,09427241147,2022-10-22,2023-01-04,33KKZFJ1578D6Z3,KKZFJ1578D,,False,1563162,3159751,6,1908654.0,0,299574,State Bank of India,725837,3,active,False,0.08372112735843694,1.221021237722002,INTUT1,8471
Sandal LLC,TN/MSME/Ax/979613,UDYAM-TN-36-21-0090182,Agro-based Industry,Small,General Products,Dindigul,Dindigul Taluk,"41/99, Wali Ganj, Nangloi Jat-150844",Keya Zacharia,4884596351,2018-09-08,2018-10-02,33BHPAB4038B4ZI,BHPAB4038B,,False,3546388,7340298,29,8735314.0,0,373812,ICICI Bank,299482,7,active,False,0.06480761757331881,2.4631580075276593,INMAA4,8542
Narang-Parekh,TN/MSME/pj/931443,UDYAM-TN-20-22-0089756,Export Oriented Unit,Micro,Garments,Madurai,Melur,"997, Majumdar Marg, Jhansi 892641",Harrison Parikh,00994952251,2015-03-10,2015-09-05,33VQKCD8951N4ZI,VQKCD8951N,58718736886,True,1587435,2887141,4,1785945.0,1331795,201436,Bank of Baroda,759201,11,dormant,False,0.06553392234747367,1.1250507894811441,INMAA4,8471
Acharya PLC,TN/MSME/Dy/755723,UDYAM-TN-35-22-0056137,Handicraft,Micro,General Products,Tiruppur,Udumalaipettai,"H.No. 600, Salvi Path, New Delhi-222168",Harinakshi Dhingra,+916521662798,2016-06-13,2016-09-12,33JMYAO0594Y2ZT,JMYAO0594Y,,False,1599711,3412187,10,2848312.0,0,335524,Canara Bank,832899,9,active,False,0.0008929268972662884,1.7805166058119248,INITP6,2601
Ramachandran-Dave,TN/MSME/es/135006,UDYAM-TN-09-21-0938531,Manufacturing,Micro,Auto Parts,Tiruppur,Udumalaipettai,"54, Dave Street, Khandwa 382677",Rishi Goyal,00904519921,2012-10-24,2013-02-04,33PVOFW3076X1ZN,PVOFW3076X,,False,548995,1105413,9,1290720.0,0,330007,HDFC Bank,457977,13,active,False,0.04663362434410531,2.3510596635670633,INITP6,8542
Hans and Sons,TN/MSME/qI/666920,UDYAM-TN-17-23-0901056,Leather,Micro,Leather Footwear,Chennai,Ambattur,"56/467, Venkataraman Path, Hosur-585870",Lopa Nayar,+912224179616,2019-09-23,2020-01-26,33PDCCG1053D4ZZ,PDCCG1053D,,False,100149,199019,3,255447.0,0,9441,ICICI Bank,638118,6,active,False,0.003248681707092954,2.5506695024413624,INNSA1,8471
Nadig-Sami,TN/MSME/nz/318144,UDYAM-TN-20-20-0676446,Food Processing,Micro,Bakery Products,Vellore,Vellore Taluk,"642, Seshadri Circle, Naihati 200268",Lekha Solanki,4426490576,2011-08-27,2011-12-28,33HCPFL6361N6ZJ,HCPFL6361N,82821715242,True,2115222,4996498,8,1692846.0,367057,180149,Axis Bank,331768,14,active,False,0.13236362828656872,0.8003159952005038,INMAA4,5201
Kala LLC,TN/MSME/gI/645691,UDYAM-TN-31-23-0494669,Service,Micro,General Products,Thoothukudi,Thoothukudi Taluk,"86/612, Bassi Chowk, Khandwa-131091",Bina Mody,8967170264,2022-03-10,2022-06-28,33JSKCC1165O2ZR,JSKCC1165O,,False,2210597,4219505,5,6208886.0,0,335977,Indian Bank,506338,4,active,False,0.0760470335655637,2.8086919506359593,INTUT1,6403
Pandya-Mukherjee,TN/MSME/WP/873462,UDYAM-TN-05-20-0641628,Service,Micro,General Products,Tiruppur,Dharapuram,"54/74, Vala Marg, Secunderabad 848032",Dominic Naidu,2503606456,2015-01-24,2015-06-23,33BATAH0194Y2ZP,BATAH0194Y,51032920551,True,1560017,1647576,3,3619875.0,779087,814401,Union Bank of India,641325,11,active,False,0.05614831701651211,2.3204074058167317,INITP6,6403
Dash Anne and Grover,TN/MSME/RS/314679,UDYAM-TN-01-22-0812003,Textile,Small,Cotton Yarn,Chennai,Alandur,"17/787, Buch Nagar, Durgapur-579334",Neha Gera,02413574859,2025-08-12,2026-01-06,33ZOFCI4627N2ZF,ZOFCI4627N,,False,27842249,44882848,17,28088625.0,0,4605811,Canara Bank,060298,0,active,False,0.0277956534352465,1.0088489977946824,INNSA1,0803
Bumb Ltd,TN/MSME/KQ/742476,UDYAM-TN-35-22-0023638,Export Oriented Unit,Micro,Leather Goods,Tiruppur,Udumalaipettai,"684, Dugar Marg, Indore 402412",Nirja Dhar,+915618918934,2013-05-11,2013-09-18,33JXWFZ0430C2Z7,JXWFZ0430C,46705863655,True,2086979,4974126,5,1569997.0,1216040,118400,State Bank of India,856210,12,active,False,0.010192922732728565,0.7522821264612629,INITP6,7204
Karan-Mitra,TN/MSME/Cn/522091,UDYAM-TN-09-21-0573663,Trading,Small,Electronics,Tirunelveli,Tirunelveli Taluk,"296, Rajan Circle, Bettiah 708246",Chanakya Sathe,+913326783932,2023-06-11,2023-10-02,33KBSFD5996B4Z0,KBSFD5996B,64002045698,True,43520115,58901246,27,43575739.0,15966517,953157,State Bank of India,239558,2,dormant,False,0.13564857983216833,1.0012781216226105,INMAA4,0803
Agarwal Jhaveri and Menon,TN/MSME/BL/607577,UDYAM-TN-35-23-0715068,Trading,Micro,Agricultural Produce,Coimbatore,Pollachi,"83, Gokhale, Ichalkaranji 538468",Harita Bhavsar,+914196229199,2023-02-01,2023-05-04,33YHBAB4234Z2ZB,YHBAB4234Z,12969089526,True,438033,472291,1,247876.0,82926,56938,Bank of Baroda,203880,3,active,False,0.06445779729784032,0.5658843055203603,INICJ4,0901
Karpe-Parsa,TN/MSME/tq/948108,UDYAM-TN-29-21-0296324,Trading,Micro,Agricultural Produce,Krishnagiri,Krishnagiri Taluk,"16, Sharaf Street, Bangalore 319685",Ganga Bandi,06865307987,2024-11-26,2025-02-25,33FLBFH0047Z1ZA,FLBFH0047Z,17166270157,True,1642281,2503659,4,4157524.0,511306,817214,Canara Bank,582193,1,active,False,0.04386190823806401,2.5315545877958767,INMAA4,8703
Om Group,TN/MSME/vf/563886,UDYAM-TN-33-20-0056621,Handloom,Small,General Products,Sivaganga,Sivaganga Taluk,"H.No. 62, Pau Zila, Bhiwani-335423",Vasudha Thaman,+917894610017,2014-11-16,2014-11-17,33YFSFL8843L4ZP,YFSFL8843L,,False,7625632,11590603,28,9891568.0,0,1219137,ICICI Bank,243168,11,struck_off,False,0.07293115438496751,1.2971473052987608,INMAA4,6110
Nath PLC,TN/MSME/Rd/573938,UDYAM-TN-20-20-0062622,Food Processing,Micro,Dal Mill,Erode,Erode Taluk,"33, Pandey Chowk, Patna-810675",Krisha Dash,+915594594421,2015-06-04,2015-10-05,33DSUCB9664D1Z5,DSUCB9664D,,False,2419306,3432121,5,2890873.0,0,528810,Union Bank of India,706530,10,active,False,0.1294159215494113,1.1949182947506434,INMAA4,0901
Dasgupta Group,TN/MSME/SH/030908,UDYAM-TN-04-20-0580171,Export Oriented Unit,Micro,Leather Goods,Namakkal,Namakkal Taluk,"940, Kadakia Street, Amroha 244416",Vrinda Sharma,06377515504,2024-12-31,2025-05-15,33RATPA9738I2ZB,RATPA9738I,73585822081,True,1908101,4365298,6,4416234.0,3610428,1242696,Union Bank of India,359642,1,active,False,0.08589038295956722,2.3144655340571596,INMAA4,8703
Bose Group,TN/MSME/uL/657628,UDYAM-TN-01-20-0321803,Service,Micro,General Products,Tiruppur,Dharapuram,"35/21, Prabhakar Chowk, Haridwar-134268",Divya Lall,+911771950849,2020-03-02,2020-07-01,33XHRCI0253M1ZR,XHRCI0253M,,False,1099196,2036438,5,2699697.0,0,259972,Axis Bank,992484,6,active,False,0.026817659412110607,2.4560651603535675,INITP6,5201
Chadha-Khatri,TN/MSME/JX/006310,UDYAM-TN-12-21-0913561,Manufacturing,Micro,Metal Fabrication,Chennai,Ambattur,"20/127, Deshpande Ganj, Gaya 993813",Vedika Sandhu,4645302231,2016-07-02,2016-10-26,33QOKAS9263C6ZL,QOKAS9263C,18124903596,True,1604596,1880056,5,1843443.0,458056,21292,Bank of Baroda,534612,9,active,False,0.1290855416360969,1.148851798209643,INNSA1,8703
Suresh-Dube,TN/MSME/rC/258762,UDYAM-TN-27-20-0673068,Food Processing,Micro,Dal Mill,Thanjavur,Thanjavur Taluk,"43, Bhatti Ganj, Salem 701058",Jackson Kakar,2612609730,2023-11-27,2023-12-02,33AVWFR7630O1Z6,AVWFR7630O,79875749368,True,1186554,1441211,4,1559692.0,329731,152790,Federal Bank,015681,2,active,False,0.05024786775011437,1.314471992003735,INMAA4,0901
Baria Ltd,TN/MSME/Vc/232651,UDYAM-TN-10-23-0799657,Agro-based Industry,Micro,General Products,Ranipet,Ranipet Taluk,"10/553, Bail Chowk, Phusro-253249",Naveen Raju,6449888055,2018-10-30,2019-03-07,33YXAFT2377Z4ZN,YXAFT2377Z,,False,287110,716836,10,166954.0,0,3929,City Union Bank,324146,7,active,False,0.1403276804748767,0.5814983804116889,INMAA4,8517
Balay Barad and Garde,TN/MSME/JV/494751,UDYAM-TN-27-22-0083562,Food Processing,Small,Rice Mill,Dharmapuri,Dharmapuri Taluk,"685, Chaudhari Marg, Darbhanga-875362",Warda Gopal,8062653627,2018-08-31,2019-01-14,33PRNPK2822H4ZO,PRNPK2822H,,False,37917132,57936502,18,84656929.0,0,12841866,HDFC Bank,870278,7,dormant,False,0.09799948910343033,2.232682814723434,INMAA4,8703
Mangal Upadhyay and Oak,TN/MSME/Bc/823372,UDYAM-TN-12-23-0016266,Engineering,Micro,Precision Tools,Vellore,Vellore Taluk,"H.No. 92, Pillai Zila, Sambalpur 753748",Megha Pillay,+914327287369,2017-04-30,2017-08-03,33UKPCE6731N6Z6,UKPCE6731N,,False,625467,781931,10,1085498.0,0,136325,Bank of Baroda,523268,8,active,False,0.10670728116869013,1.7355000343743154,INMAA4,5201
Oommen LLC,TN/MSME/ck/269898,UDYAM-TN-03-20-0774634,Manufacturing,Micro,Metal Fabrication,Tiruchirappalli,Tiruchirappalli Taluk,"56, Barad Street, Deoghar 386688",Matthew Batra,01603703738,2024-04-06,2024-04-24,33DWXPN3457D4ZV,DWXPN3457D,,False,800178,1905292,10,615680.0,0,175453,City Union Bank,381289,2,dormant,False,0.09462479962008487,0.7694288020915346,INMAA4,0803
Vyas Ltd,TN/MSME/nV/594867,UDYAM-TN-38-23-0299114,Chemical,Small,Pigments,Virudhunagar,Virudhunagar Taluk,"H.No. 30, Khare Marg, Nadiad-945676",Anjali Dhawan,5154617369,2018-02-03,2018-07-02,33DAPPV6345S4ZG,DAPPV6345S,62887443587,True,42064576,62165867,42,56904665.0,15320977,3045807,ICICI Bank,748652,8,active,False,0.12209807702718599,1.3527930247056335,INMAA4,0803
Bora-Ravi,TN/MSME/PG/639198,UDYAM-TN-33-21-0028679,Food Processing,Micro,Spices,Erode,Erode Taluk,"49, Edwin Chowk, Narasaraopet-880978",Girik Lad,02664980472,2020-08-24,2020-08-28,33JEHPP4829T1ZO,JEHPP4829T,,False,1418552,2691826,3,1049643.0,0,12515,ICICI Bank,523772,5,dormant,False,0.08068738818055986,0.7399397413700731,INMAA4,8517
Gala-Walia,TN/MSME/ce/391290,UDYAM-TN-23-20-0780432,Manufacturing,Micro,Rubber Products,Chennai,Ambattur,"25/70, Balay Marg, Alappuzha 425930",Yatan Andra,06849431338,2017-05-21,2017-09-10,33TNVAJ9791N6ZQ,TNVAJ9791N,46442247391,True,2495640,3720184,3,7443728.0,2378197,1132325,Indian Bank,733422,8,active,False,0.09459359131998017,2.982693016620987,INNSA1,3004
Chander Ltd,TN/MSME/KE/769037,UDYAM-TN-19-21-0208219,Manufacturing,Micro,Metal Fabrication,Madurai,Melur,"317, Lala Street, Hubli–Dharwad-643012",Anika Devan,00449791426,2025-09-30,2025-11-02,33EOVFU0601M2ZM,EOVFU0601M,24539662181,True,2286477,5226280,3,3912774.0,610907,879723,HDFC Bank,908171,0,active,False,0.01008919010761135,1.7112675963939283,INMAA4,3004
Morar Group,TN/MSME/Wl/487988,UDYAM-TN-31-22-0101223,Handicraft,Micro,General Products,Perambalur,Perambalur Taluk,"34/13, Barad Nagar, Sambalpur-248296",Meghana Trivedi,08509505167,2019-02-27,2019-08-15,33QGJAQ6132J6Z5,QGJAQ6132J,,False,1203411,1598606,7,2400329.0,0,693396,ICICI Bank,668256,7,dormant,False,0.11459049279310332,1.9946045033658493,INMAA4,0901
Chhabra Apte and Banik,TN/MSME/Kn/630697,UDYAM-TN-04-22-0274313,Export Oriented Unit,Micro,Software,Namakkal,Namakkal Taluk,"H.No. 735, Padmanabhan Ganj, Mysore-042962",Faris Kashyap,+910279631833,2016-05-28,2016-08-08,33RJKFE7484N2ZB,RJKFE7484N,62037899279,True,2049243,3252287,5,2397224.0,1618814,317837,Union Bank of India,205078,9,active,False,0.13685530951764438,1.1698095345451955,INMAA4,2709
Cheema-Goswami,TN/MSME/sB/555303,UDYAM-TN-23-20-0686746,Textile,Micro,Cotton Yarn,Kancheepuram,Kancheepuram Taluk,"22/414, Devan Marg, Bihar Sharif 548377",Kala Choudhary,5358136650,2015-01-29,2015-07-11,33OEFCU1961R1ZB,OEFCU1961R,,False,1818874,1953148,2,4458212.0,0,281487,Indian Overseas Bank,086335,11,active,False,0.14778259451351267,2.451083472522011,INMAA4,7204
Parmar-Ramaswamy,TN/MSME/wO/499837,UDYAM-TN-16-20-0285694,Handicraft,Micro,General Products,Krishnagiri,Krishnagiri Taluk,"02/857, Bhagat Chowk, Chinsurah-015431",Sai Jain,4686696079,2014-09-03,2014-12-26,33IFTFA0091M6ZC,IFTFA0091M,30257339384,True,776978,1540680,5,435582.0,126086,17143,City Union Bank,496212,11,active,False,0.04049979917181695,0.5606104677352511,INMAA4,6110
Kale Muni and Mane,TN/MSME/Zn/284958,UDYAM-TN-19-23-0097583,Food Processing,Micro,Pickles,Madurai,Madurai North,"171, Pai Chowk, Hosur 100431",Rushil De,+918119647088,2014-07-22,2014-09-25,33CPKCT8747J4Z3,CPKCT8747J,46417817098,True,2372045,4368107,5,6933857.0,1891974,1005442,Union Bank of India,182105,11,dormant,False,0.07998058554521965,2.9231557580062772,INMAA4,8517
Biswas PLC,TN/MSME/SW/774338,UDYAM-TN-16-20-0148196,Chemical,Medium,Pharma Intermediates,Sivaganga,Sivaganga Taluk,"70/90, Basu Chowk, Pimpri-Chinchwad-535222",Samesh Chatterjee,09458725331,2025-04-06,2025-05-18,33LPAPY2356K2ZF,LPAPY2356K,76058944257,True,196721830,351169811,94,200499783.0,76716827,50504893,Axis Bank,889752,1,active,False,0.008839943745071226,1.01920454379669,INMAA4,5201
Lanka and Sons,TN/MSME/Ik/784462,UDYAM-TN-06-20-0446381,Agro-based Industry,Small,General Products,Thoothukudi,Thoothukudi Taluk,"47, Kara Chowk, Bhalswa Jahangir Pur 095507",Damyanti Mohanty,02093571413,2015-04-02,2015-09-21,33RPWFI6775K2ZU,RPWFI6775K,,False,4950125,10142228,41,8841308.0,0,996466,City Union Bank,022573,11,active,False,0.024313967138460655,1.786077725309967,INTUT1,0803
Sood Raghavan and Rau,TN/MSME/tw/653013,UDYAM-TN-34-22-0644980,Export Oriented Unit,Small,Software,Tiruchirappalli,Tiruchirappalli Taluk,"H.No. 55, Sen Street, Kirari Suleman Nagar 940177",Aahana Iyer,8437981417,2012-06-02,2012-07-07,33XMQPQ4753J1Z1,XMQPQ4753J,70883784106,True,10127901,12277815,29,23292728.0,21151641,3656384,Punjab National Bank,838525,13,active,False,0.09209997313320117,2.299857393945695,INMAA4,0803
Narula Saran and Sathe,TN/MSME/po/476135,UDYAM-TN-04-23-0623331,Chemical,Micro,Pharma Intermediates,Ranipet,Ranipet Taluk,"H.No. 460, Bora Path, Burhanpur 870419",Ojasvi Ranganathan,+912742187705,2016-04-25,2016-07-26,33ESMCK4109J2ZM,ESMCK4109J,,False,1484863,1833329,9,2444803.0,0,257036,Indian Bank,645512,9,active,False,0.03390442655789566,1.6464838843718241,INMAA4,6403
Mand-Patel,TN/MSME/xQ/796878,UDYAM-TN-25-22-0603619,Agro-based Industry,Small,General Products,Chennai,Alandur,"H.No. 330, Sampath Ganj, Ichalkaranji-586112",Gauri Rajagopal,05926649753,2013-11-07,2013-12-30,33JTYFR5601X2ZR,JTYFR5601X,55428942448,True,31099492,40863490,47,23505161.0,7969785,18833,Axis Bank,651602,12,active,False,0.0324665186084862,0.7558053038294001,INNSA1,8542
Ram Acharya and Dave,TN/MSME/Dr/406306,UDYAM-TN-20-22-0556465,Service,Micro,General Products,Perambalur,Perambalur Taluk,"69, Prashad Chowk, Nagaon 866808",Nathaniel Nagi,+917319852985,2015-05-27,2015-06-07,33CZDFZ4635D2Z9,CZDFZ4635D,,False,101035,112886,7,228906.0,0,41572,Indian Overseas Bank,906449,10,active,False,0.02491744676100827,2.2656109269065174,INMAA4,6403
Shah Borah and Ganguly,TN/MSME/PG/767721,UDYAM-TN-01-21-0463556,Engineering,Micro,Forgings,Thoothukudi,Thoothukudi Taluk,"40/049, Kara Circle, Burhanpur 861403",Chaaya Andra,1001577326,2012-01-05,2012-05-05,33OLJPA8873N2Z9,OLJPA8873N,,False,1150836,1773998,4,1675782.0,0,97977,Canara Bank,619363,14,active,False,0.049267731712134714,1.4561431863445355,INTUT1,8542
Chahal Ltd,TN/MSME/uY/919775,UDYAM-TN-35-20-0040049,Food Processing,Small,Rice Mill,Ranipet,Ranipet Taluk,"08/42, Vohra Street, Gandhinagar-284752",Parth Dada,01246727543,2019-09-02,2019-12-02,33QKZFW2698W6Z3,QKZFW2698W,,False,4750038,7382987,41,11280580.0,0,2074229,Federal Bank,065370,6,active,False,0.10584593646548258,2.374839948648832,INMAA4,8471
Biswas Viswanathan and Deshmukh,TN/MSME/rL/674573,UDYAM-TN-04-20-0202313,Engineering,Micro,Machine Parts,Salem,Salem Taluk,"24/616, Karpe Marg, Secunderabad 488018",Timothy Nigam,+916428492099,2021-09-11,2022-01-08,33COZFG6736K2ZX,COZFG6736K,,False,361411,808682,7,556915.0,0,83792,Federal Bank,236991,4,active,False,0.012595305039642624,1.5409464570807196,INMAA4,5201
